Cleaned_Comment,Predicted_Sentiment
a hrefhttpswwwyoutubecomwatchvpo09e7mdfwampt463743a hocam 3 dereceden polinomun kökler toplamını orda bulduk,Negative
hocam güzel anlatmışsınız bildiklerimi unutmuşum,Positive
nan,Neutral
boyyle cikmiuor,Neutral
sondan 2 soruyu 3 e bölerek x1 ³ bulduk anlamadım,Positive
hocam harika anlatmışsınız,Positive
polinom bilmeyen bile sizden dinleyince anlar hocam baş tacısınız,Positive
soruları yapabilyor olsam sınav tarzmı soruyor bilgi verirseniz sevinirim,Neutral
teşekkürler hocam,Positive
sag olun hocamm tekrar icin sizden iyisi yok,Positive
arkadaşlar sizce sınavda böylemi cikar,Positive
mantık olay ghhbjbn,Neutral
mantık olay,Neutral
gençler sınav iptal edilecekmiş yorumlayın artık ertelendi,Neutral
0400 soruyu yanlış yaptınız galiba,Positive
hocam fonksiyonlar gelsin lütfenn,Positive
beyler adamın attığı dakika konu videoları verimlimi benim polinom um iyi değil adamı dinlesem yapılırmı sorular,Negative
tyt matamatikte gelsin,Positive
hocam pdf yok,Positive
supaaaa videooo,Neutral
a hrefhttpswwwyoutubecomwatchvcmg4gjt4uaohttpsyoutubecmg4gjt4uaoabrbrâşık veysel39i anma kutlama yılı,Neutral
arkadaşlar polinom bende sıfır sınavın zorluğun gecen sene gelirse sizce video 1 net yapılırmı polinomlarda,Negative
hocam deli dehşet güzel bir seriiii,Positive
videoyu izlerken telefon burnuma düştü kanadı yks bana bir burun borçlu jghgjghjhkj,Positive
hocam böyle videolar mükemmel aynen devam,Positive
hocam lütfen permitasyon kombinasyon binom hocam yardımm,Neutral
sırada 2021 ayt polinom sorusu şaka yapıyorsun canım,Neutral
sağolun hocam sayenizde 0 netten 2 nete yükselttim matematiğimi,Positive
yine mükemmel bir video,Positive
